epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.3365,1.33195,2.36614,1.00126,0.00332,1,0.54978,0.32443,1.2054,3.09422,0.97051,0.000546249,0.000546249,0.000546249
2,10.4661,1.1569,1.03879,0.95101,0.9965,0.99672,0.995,0.68021,1.12675,1.20998,0.98988,0.00109101,0.00109101,0.00109101
3,14.417,1.13555,0.91776,0.94599,0.99508,1,0.995,0.66034,1.22309,0.66119,1.04392,0.00162476,0.00162476,0.00162476
4,18.3786,1.10303,0.80711,0.94207,0.97224,0.98787,0.99445,0.67477,1.15238,0.67242,1.00878,0.00161749,0.00161749,0.00161749
5,22.3068,1.06849,0.70483,0.92968,0.9978,1,0.995,0.7187,1.05195,0.50463,0.96458,0.00160099,0.00160099,0.00160099
6,26.2801,1.07303,0.67302,0.9309,0.9984,1,0.995,0.68525,1.1233,0.55717,0.99673,0.00158448,0.00158448,0.00158448
7,30.1924,1.08683,0.64102,0.9352,0.90667,0.88861,0.9929,0.7181,1.04524,0.77208,0.96178,0.00156798,0.00156798,0.00156798
8,34.1063,1.06639,0.60668,0.93308,0.94805,0.95134,0.99123,0.72162,1.04733,0.60349,0.95802,0.00155148,0.00155148,0.00155148
9,38.0353,1.05842,0.56936,0.9288,0.99806,1,0.995,0.72321,1.09505,0.4873,0.97692,0.00153497,0.00153497,0.00153497
10,41.9751,1.05196,0.57272,0.92851,0.99525,1,0.995,0.68927,1.11363,0.49638,0.97877,0.00151847,0.00151847,0.00151847
11,45.9189,1.0545,0.55969,0.92306,0.99877,1,0.995,0.68236,1.13484,0.48746,0.98783,0.00150197,0.00150197,0.00150197
12,49.8339,1.03994,0.53604,0.93428,0.99874,1,0.995,0.72159,1.04458,0.4549,0.96071,0.00148546,0.00148546,0.00148546
13,53.928,1.0012,0.51534,0.90826,0.99856,1,0.995,0.72338,1.04342,0.45202,0.96299,0.00146896,0.00146896,0.00146896
14,57.9112,1.00489,0.50596,0.91839,0.99891,1,0.995,0.71033,1.09559,0.43699,0.97997,0.00145246,0.00145246,0.00145246
15,61.8991,1.01742,0.49203,0.91726,0.99881,1,0.995,0.73642,1.06434,0.43737,0.96499,0.00143595,0.00143595,0.00143595
16,65.8988,0.98682,0.4977,0.91103,0.99788,1,0.995,0.73562,1.02681,0.42039,0.94813,0.00141945,0.00141945,0.00141945
17,69.8876,1.00003,0.48821,0.90847,0.98884,0.99231,0.99077,0.71019,1.03308,0.47029,0.96404,0.00140295,0.00140295,0.00140295
18,73.8409,0.99537,0.49905,0.91534,0.9988,1,0.995,0.70189,1.15489,0.46195,1.00337,0.00138644,0.00138644,0.00138644
19,77.8308,0.98429,0.48538,0.90408,0.99878,1,0.995,0.73782,1.0284,0.40246,0.95674,0.00136994,0.00136994,0.00136994
20,81.7967,1.01187,0.48994,0.91606,0.98467,0.99231,0.99408,0.72444,1.05277,0.46939,0.95471,0.00135344,0.00135344,0.00135344
21,85.7256,0.98936,0.47742,0.91361,0.99861,1,0.995,0.73488,1.05907,0.39891,0.96439,0.00133693,0.00133693,0.00133693
22,89.7468,0.96614,0.46086,0.90481,0.99863,1,0.995,0.7126,1.08176,0.41687,0.96874,0.00132043,0.00132043,0.00132043
23,93.6894,0.99048,0.47246,0.90428,0.9899,0.99309,0.99453,0.71261,1.0919,0.43001,0.96992,0.00130393,0.00130393,0.00130393
24,97.7476,0.97124,0.45939,0.90012,0.99869,1,0.995,0.75034,1.02856,0.41223,0.94904,0.00128742,0.00128742,0.00128742
25,101.675,0.96286,0.46361,0.89838,0.99825,1,0.995,0.73472,1.081,0.41685,0.96527,0.00127092,0.00127092,0.00127092
26,105.653,0.94985,0.46061,0.90535,0.99868,1,0.995,0.71695,1.07571,0.40791,0.9658,0.00125442,0.00125442,0.00125442
27,109.578,0.9695,0.4612,0.90096,0.99925,1,0.995,0.73444,1.0404,0.3946,0.96003,0.00123791,0.00123791,0.00123791
28,113.582,0.94149,0.44617,0.90173,0.99861,1,0.995,0.73435,1.0582,0.39472,0.95947,0.00122141,0.00122141,0.00122141
29,117.582,0.95261,0.44523,0.89302,0.99876,1,0.995,0.73657,1.07085,0.39833,0.96672,0.00120491,0.00120491,0.00120491
30,121.567,0.97915,0.44955,0.90367,0.99761,1,0.995,0.75201,1.024,0.38975,0.95423,0.0011884,0.0011884,0.0011884
31,125.665,0.95094,0.43747,0.90321,0.99769,1,0.995,0.71992,1.08262,0.41933,0.97242,0.0011719,0.0011719,0.0011719
32,129.718,0.94148,0.43434,0.90029,0.99755,1,0.995,0.73598,1.04777,0.42499,0.95704,0.0011554,0.0011554,0.0011554
