epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.32829,1.27646,1.58088,1.01319,0.97234,0.9704,0.99424,0.71586,1.07571,0.67417,0.98932,0.000546249,0.000546249,0.000546249
2,11.9002,1.08609,0.61457,0.94316,0.99638,0.99231,0.99492,0.71538,1.0399,0.53938,0.96969,0.00109101,0.00109101,0.00109101
3,17.3674,1.13891,0.60403,0.95477,0.98302,0.98676,0.9832,0.61955,1.20422,0.61849,1.03598,0.00162476,0.00162476,0.00162476
4,22.7974,1.07245,0.59073,0.9402,0.95723,0.88916,0.995,0.71516,1.08841,0.77973,0.9722,0.00161749,0.00161749,0.00161749
5,28.2429,1.02752,0.53129,0.92514,0.99707,0.9855,0.995,0.71069,1.09171,0.50854,0.99446,0.00160099,0.00160099,0.00160099
6,33.687,1.07381,0.56949,0.94038,0.99851,1,0.995,0.66595,1.24036,0.51759,1.04063,0.00158448,0.00158448,0.00158448
7,39.1269,1.05408,0.52601,0.93237,0.96888,0.98673,0.98062,0.71574,1.06753,0.49358,0.96995,0.00156798,0.00156798,0.00156798
8,44.5597,1.05299,0.51088,0.93752,0.99762,1,0.995,0.71266,1.08656,0.43249,0.97426,0.00155148,0.00155148,0.00155148
9,50.0163,1.04881,0.50434,0.92983,0.99881,1,0.995,0.73064,1.07361,0.42245,0.97828,0.00153497,0.00153497,0.00153497
10,55.5344,1.01887,0.49428,0.92493,0.99854,1,0.995,0.71392,1.09794,0.44892,0.98528,0.00151847,0.00151847,0.00151847
11,61.0064,1.02017,0.48871,0.91939,0.9985,1,0.995,0.69802,1.10021,0.46824,0.99473,0.00150197,0.00150197,0.00150197
12,66.4871,1.03865,0.49909,0.93757,0.99709,1,0.995,0.74507,0.97685,0.41096,0.94443,0.00148546,0.00148546,0.00148546
13,72.1518,0.99765,0.4932,0.91136,0.99848,1,0.995,0.72913,1.02533,0.42898,0.96013,0.00146896,0.00146896,0.00146896
14,77.6385,1.02195,0.49768,0.92292,0.00207,0.20192,0.00122,0.00078,2.10324,323.584,1.51078,0.00145246,0.00145246,0.00145246
15,83.099,0.99183,0.47167,0.91536,0.99774,1,0.995,0.72873,1.00185,0.4108,0.94744,0.00143595,0.00143595,0.00143595
16,88.5558,0.98769,0.49143,0.91292,0.99647,1,0.995,0.74886,0.98355,0.38637,0.94411,0.00141945,0.00141945,0.00141945
17,94.1153,0.97874,0.46615,0.90456,0.99846,1,0.995,0.73695,1.01568,0.41078,0.95701,0.00140295,0.00140295,0.00140295
18,99.5853,0.97257,0.46224,0.91164,0.99868,1,0.995,0.68956,1.21026,0.43768,1.02445,0.00138644,0.00138644,0.00138644
19,105.051,0.98049,0.46274,0.9042,0.99847,1,0.995,0.73096,1.03474,0.4024,0.963,0.00136994,0.00136994,0.00136994
20,110.517,0.99373,0.46159,0.91106,0.99837,1,0.995,0.74695,0.98565,0.39442,0.94168,0.00135344,0.00135344,0.00135344
21,115.964,0.96175,0.45071,0.9084,0.9796,0.98515,0.98764,0.73371,1.02965,0.42658,0.95375,0.00133693,0.00133693,0.00133693
22,121.459,0.9644,0.44718,0.90553,0.9988,1,0.995,0.74352,1.04363,0.38351,0.96353,0.00132043,0.00132043,0.00132043
23,127.096,0.99037,0.45702,0.90405,0.99867,1,0.995,0.71581,1.13099,0.41439,0.97845,0.00130393,0.00130393,0.00130393
24,132.586,0.95372,0.42525,0.89726,0.99862,1,0.995,0.74019,1.01576,0.37007,0.9558,0.00128742,0.00128742,0.00128742
25,138.034,0.92814,0.42458,0.89168,0.99923,1,0.995,0.74242,1.02343,0.39367,0.9517,0.00127092,0.00127092,0.00127092
26,143.509,0.94404,0.44303,0.90351,0.99776,0.99307,0.995,0.74955,1.02576,0.38873,0.9561,0.00125442,0.00125442,0.00125442
27,149.047,0.94736,0.44339,0.89659,0.99761,1,0.995,0.74245,1.01688,0.3891,0.95527,0.00123791,0.00123791,0.00123791
28,154.535,0.92741,0.42958,0.89898,0.99587,1,0.995,0.74389,1.01917,0.36393,0.95185,0.00122141,0.00122141,0.00122141
29,160.03,0.9438,0.43724,0.89034,0.99878,1,0.995,0.75834,0.9681,0.36798,0.93313,0.00120491,0.00120491,0.00120491
30,165.638,0.92869,0.42059,0.89662,0.99812,1,0.995,0.73632,1.06055,0.38385,0.96693,0.0011884,0.0011884,0.0011884
31,171.251,0.9345,0.42494,0.90226,0.98918,0.99231,0.99411,0.74422,0.99667,0.43329,0.94729,0.0011719,0.0011719,0.0011719
32,176.905,0.92269,0.42365,0.89939,0.99797,1,0.995,0.7618,0.99367,0.37217,0.94462,0.0011554,0.0011554,0.0011554
33,182.658,0.93363,0.42668,0.89183,0.99835,1,0.995,0.72962,1.02601,0.3864,0.95837,0.00113889,0.00113889,0.00113889
34,188.236,0.93755,0.41797,0.8956,0.99861,1,0.995,0.75838,0.97908,0.36181,0.94092,0.00112239,0.00112239,0.00112239
35,193.75,0.92462,0.41488,0.89003,0.99483,0.99299,0.995,0.74301,0.98044,0.39572,0.94366,0.00110589,0.00110589,0.00110589
36,199.419,0.93059,0.41335,0.89458,0.99844,1,0.995,0.74709,1.02842,0.38097,0.95278,0.00108938,0.00108938,0.00108938
37,204.958,0.91376,0.41646,0.89203,0.99376,0.99923,0.995,0.75526,1.01043,0.37043,0.94848,0.00107288,0.00107288,0.00107288
38,210.693,0.91653,0.4061,0.8881,0.99395,0.993,0.995,0.73835,1.01921,0.37785,0.95873,0.00105638,0.00105638,0.00105638
39,216.497,0.92804,0.4026,0.89586,0.9992,1,0.995,0.72962,1.05886,0.37812,0.9637,0.00103987,0.00103987,0.00103987
40,222.271,0.92523,0.40767,0.88981,0.9988,1,0.995,0.75708,0.9773,0.35861,0.94162,0.00102337,0.00102337,0.00102337
41,227.964,0.89945,0.4055,0.88568,0.98897,0.9928,0.995,0.75188,0.98355,0.37166,0.94185,0.00100687,0.00100687,0.00100687
42,233.505,0.93938,0.41424,0.89705,0.99316,0.99841,0.995,0.74758,1.00598,0.37188,0.95533,0.000990365,0.000990365,0.000990365
43,239.03,0.93972,0.40532,0.89494,0.98828,0.99993,0.995,0.73901,1.036,0.36876,0.95571,0.000973861,0.000973861,0.000973861
44,244.546,0.91404,0.40567,0.89186,0.9987,1,0.995,0.7476,1.00407,0.36394,0.95223,0.000957358,0.000957358,0.000957358
45,250.073,0.91044,0.40603,0.89339,0.98961,0.99281,0.995,0.76179,1.00131,0.37757,0.94957,0.000940855,0.000940855,0.000940855
46,255.748,0.89629,0.38825,0.88058,0.9988,1,0.995,0.75094,1.00745,0.36357,0.94701,0.000924352,0.000924352,0.000924352
47,261.322,0.88377,0.39985,0.8852,0.99797,1,0.995,0.74469,1.01597,0.36905,0.94492,0.000907848,0.000907848,0.000907848
48,266.914,0.88693,0.40203,0.88057,0.99878,1,0.995,0.73507,1.04675,0.36183,0.96904,0.000891345,0.000891345,0.000891345
49,272.426,0.90199,0.39693,0.88535,0.99892,1,0.995,0.75425,1.00085,0.36158,0.94714,0.000874842,0.000874842,0.000874842
50,277.938,0.90466,0.39217,0.89169,0.99859,1,0.995,0.76371,0.99597,0.36216,0.94739,0.000858338,0.000858338,0.000858338
51,283.565,0.87558,0.38957,0.87578,0.9989,1,0.995,0.74717,1.02826,0.37048,0.95288,0.000841835,0.000841835,0.000841835
52,289.073,0.88565,0.39467,0.88065,0.99528,0.99341,0.995,0.73543,1.05207,0.37461,0.96378,0.000825332,0.000825332,0.000825332
53,294.582,0.87199,0.3781,0.88624,0.9838,0.99898,0.995,0.75628,1.01583,0.36966,0.94885,0.000808828,0.000808828,0.000808828
54,300.117,0.87093,0.3843,0.88568,0.99873,1,0.995,0.73983,1.05126,0.35809,0.96573,0.000792325,0.000792325,0.000792325
55,305.606,0.88772,0.38221,0.8928,0.99892,1,0.995,0.7629,0.97362,0.34746,0.9354,0.000775822,0.000775822,0.000775822
56,311.265,0.89888,0.38825,0.88884,0.99904,1,0.995,0.75016,1.02168,0.34669,0.95122,0.000759318,0.000759318,0.000759318
57,316.784,0.87397,0.37708,0.88916,0.9988,1,0.995,0.7518,1.02168,0.34977,0.95397,0.000742815,0.000742815,0.000742815
58,322.294,0.86356,0.37928,0.87646,0.99916,1,0.995,0.75294,1.00304,0.33919,0.94793,0.000726312,0.000726312,0.000726312
59,327.804,0.84928,0.36268,0.87076,0.98707,0.99948,0.995,0.74888,1.02158,0.35108,0.95454,0.000709809,0.000709809,0.000709809
60,333.321,0.85234,0.37052,0.87988,0.99921,1,0.995,0.75018,1.00354,0.34279,0.94738,0.000693305,0.000693305,0.000693305
61,338.813,0.86711,0.37732,0.87707,0.99941,1,0.995,0.75201,1.00109,0.33386,0.94868,0.000676802,0.000676802,0.000676802
62,344.406,0.86641,0.37358,0.878,0.99925,1,0.995,0.75,0.99596,0.33523,0.94851,0.000660299,0.000660299,0.000660299
63,349.927,0.86638,0.36889,0.87955,0.99046,0.99275,0.995,0.756,0.99834,0.34216,0.9444,0.000643795,0.000643795,0.000643795
64,355.42,0.86378,0.36717,0.87789,0.99848,1,0.995,0.75015,1.01514,0.33967,0.9542,0.000627292,0.000627292,0.000627292
65,360.943,0.84871,0.36475,0.88461,0.99881,1,0.995,0.74413,0.99744,0.3418,0.95196,0.000610789,0.000610789,0.000610789
66,366.496,0.83596,0.35727,0.87029,0.99896,1,0.995,0.77425,0.96448,0.32385,0.93867,0.000594286,0.000594286,0.000594286
67,372.235,0.83623,0.36154,0.87765,0.99867,1,0.995,0.76909,0.98419,0.34017,0.94227,0.000577782,0.000577782,0.000577782
68,377.777,0.8463,0.36369,0.8712,0.99882,1,0.995,0.76139,0.98144,0.33107,0.94051,0.000561279,0.000561279,0.000561279
69,383.278,0.85748,0.36356,0.8786,0.99823,1,0.995,0.76578,0.97415,0.34217,0.93778,0.000544776,0.000544776,0.000544776
70,388.81,0.83263,0.35444,0.87929,0.99942,1,0.995,0.75597,0.97617,0.32846,0.94294,0.000528272,0.000528272,0.000528272
71,394.412,0.82912,0.35564,0.86936,0.99799,1,0.995,0.7564,0.99138,0.33145,0.94971,0.000511769,0.000511769,0.000511769
72,399.948,0.82159,0.34969,0.86388,0.99785,1,0.995,0.75328,0.99794,0.332,0.94715,0.000495266,0.000495266,0.000495266
73,405.489,0.82873,0.35022,0.86962,0.99884,1,0.995,0.75515,0.97105,0.32562,0.93525,0.000478762,0.000478762,0.000478762
74,411.026,0.84186,0.35361,0.87528,0.99895,1,0.995,0.73969,1.02823,0.33686,0.95362,0.000462259,0.000462259,0.000462259
75,416.529,0.81366,0.34679,0.86957,0.99896,1,0.995,0.75591,0.99658,0.33035,0.94499,0.000445756,0.000445756,0.000445756
76,422.063,0.80708,0.34432,0.86912,0.99888,1,0.995,0.74695,0.99932,0.33288,0.9448,0.000429253,0.000429253,0.000429253
77,427.592,0.81693,0.34508,0.87,0.99874,1,0.995,0.75776,0.97468,0.32637,0.943,0.000412749,0.000412749,0.000412749
78,433.116,0.81878,0.35053,0.86704,0.99872,1,0.995,0.74825,1.01849,0.33102,0.95351,0.000396246,0.000396246,0.000396246
79,438.786,0.82134,0.34515,0.86222,0.99891,1,0.995,0.74227,1.00452,0.32809,0.95475,0.000379743,0.000379743,0.000379743
80,444.309,0.81411,0.34151,0.86157,0.99884,1,0.995,0.75107,0.99625,0.32443,0.94689,0.000363239,0.000363239,0.000363239
81,449.838,0.80521,0.33945,0.86116,0.99892,1,0.995,0.7562,0.98504,0.32153,0.94716,0.000346736,0.000346736,0.000346736
82,455.423,0.80255,0.32855,0.85993,0.9988,1,0.995,0.75304,0.97991,0.3152,0.94209,0.000330233,0.000330233,0.000330233
83,460.949,0.79515,0.33976,0.86597,0.99885,1,0.995,0.75001,0.99403,0.31768,0.94346,0.000313729,0.000313729,0.000313729
84,466.485,0.80228,0.33155,0.86207,0.99882,1,0.995,0.75363,0.98892,0.32329,0.95181,0.000297226,0.000297226,0.000297226
85,471.998,0.79157,0.33647,0.87086,0.9989,1,0.995,0.75398,0.98757,0.32233,0.9442,0.000280723,0.000280723,0.000280723
86,477.531,0.7991,0.33388,0.86505,0.99885,1,0.995,0.75978,0.99367,0.32018,0.94459,0.00026422,0.00026422,0.00026422
87,483.067,0.79149,0.33266,0.86113,0.99885,1,0.995,0.75751,0.97562,0.3193,0.93994,0.000247716,0.000247716,0.000247716
88,488.671,0.77247,0.32243,0.85672,0.99881,1,0.995,0.75392,0.99661,0.31807,0.95013,0.000231213,0.000231213,0.000231213
89,494.189,0.79318,0.32721,0.85778,0.99888,1,0.995,0.75098,1.00124,0.31935,0.94981,0.00021471,0.00021471,0.00021471
90,499.859,0.76944,0.32104,0.85799,0.99864,1,0.995,0.75769,0.97612,0.31487,0.94323,0.000198206,0.000198206,0.000198206
91,506.196,0.77557,0.31556,0.87682,0.99891,1,0.995,0.75396,0.97648,0.31602,0.94149,0.000181703,0.000181703,0.000181703
