epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.06007,2.6638,6.66166,2.01225,0.00248,0.72115,0.00239,0.00065,2.08616,7.53977,1.9572,0.000546249,0.000546249,0.000546249
2,11.3093,2.37077,3.56943,1.92887,0.98055,0.42302,0.92005,0.63453,2.3047,3.25945,2.0419,0.00109101,0.00109101,0.00109101
3,16.4452,2.37109,2.84289,1.91864,0.81462,0.88266,0.92399,0.63979,2.32826,1.83146,2.0279,0.00162476,0.00162476,0.00162476
4,21.7488,2.32797,2.4294,1.90027,0.80798,0.91852,0.97441,0.64601,2.47149,1.25555,2.06016,0.00161749,0.00161749,0.00161749
5,27.1168,2.2659,1.93543,1.88617,0.97458,0.89738,0.98712,0.70317,2.18471,1.3171,1.99491,0.00160099,0.00160099,0.00160099
6,32.3444,2.29548,1.69662,1.90523,0.90093,0.93868,0.97653,0.63427,2.53139,1.17875,2.08915,0.00158448,0.00158448,0.00158448
7,37.554,2.28368,1.48168,1.89684,0.81577,0.84423,0.91624,0.62336,2.28093,1.66383,1.98463,0.00156798,0.00156798,0.00156798
8,42.8205,2.23288,1.382,1.89381,0.94052,0.93846,0.97803,0.67454,2.2889,1.03431,1.9861,0.00155148,0.00155148,0.00155148
9,48.0276,2.26227,1.29287,1.88814,0.93485,0.96154,0.96623,0.70534,2.2095,0.96631,1.9934,0.00153497,0.00153497,0.00153497
10,53.2695,2.20206,1.21459,1.87892,0.97023,0.94925,0.99009,0.71528,2.15147,0.97832,1.9437,0.00151847,0.00151847,0.00151847
11,58.8744,2.19235,1.13129,1.86408,0.93251,0.95722,0.98997,0.70562,2.19982,0.90721,1.96186,0.00150197,0.00150197,0.00150197
12,64.255,2.20769,1.11502,1.89494,0.95443,0.9828,0.99174,0.7311,2.0821,0.83093,1.92098,0.00148546,0.00148546,0.00148546
13,69.555,2.10605,1.06645,1.83747,0.89646,0.9134,0.9651,0.68872,2.15451,1.08964,1.9472,0.00146896,0.00146896,0.00146896
14,74.8676,2.13538,1.04012,1.86058,0.95266,0.98612,0.99279,0.71543,2.13552,0.79831,1.93221,0.00145246,0.00145246,0.00145246
