epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.46055,2.71177,6.00534,2.03349,0.97181,0.73568,0.9863,0.66974,2.40299,1.83011,2.10829,0.000546249,0.000546249,0.000546249
2,14.2878,2.28385,1.34156,1.9066,0.95522,0.98001,0.99372,0.68521,2.35581,1.22701,2.10956,0.00109101,0.00109101,0.00109101
3,20.9896,2.47909,1.21748,1.95042,0.97723,0.93978,0.98795,0.67188,2.45817,1.08165,2.13215,0.00162476,0.00162476,0.00162476
4,27.6319,2.33035,1.07689,1.9092,0.93252,0.95744,0.99132,0.66469,2.40068,1.03896,2.03823,0.00161749,0.00161749,0.00161749
5,34.4061,2.32772,1.15669,1.9084,0.90842,0.89354,0.96901,0.67677,2.28693,1.15964,2.00816,0.00160099,0.00160099,0.00160099
6,41.0352,2.32286,1.00648,1.90861,0.97476,0.95182,0.99109,0.68302,2.31468,1.34439,2.02479,0.00158448,0.00158448,0.00158448
7,47.6613,2.22195,1.05825,1.88561,0.81461,0.88088,0.96631,0.67726,2.2951,1.34836,2.02134,0.00156798,0.00156798,0.00156798
8,54.3561,2.20105,0.97877,1.89818,0.98284,0.99048,0.99374,0.7105,2.2149,1.05445,1.96198,0.00155148,0.00155148,0.00155148
9,61.0357,2.257,0.92722,1.89332,0.98723,0.99147,0.99464,0.69451,2.34276,0.79347,2.0324,0.00153497,0.00153497,0.00153497
10,67.6795,2.22503,0.91711,1.8888,0.98768,0.99822,0.995,0.7128,2.18652,0.767,1.9659,0.00151847,0.00151847,0.00151847
11,74.5266,2.17414,0.89897,1.87042,0.95178,0.98203,0.99023,0.72969,2.14723,0.74173,1.94692,0.00150197,0.00150197,0.00150197
12,81.2248,2.19839,0.90859,1.90317,0.9879,0.98116,0.99427,0.72853,2.04214,0.75453,1.90667,0.00148546,0.00148546,0.00148546
13,87.8357,2.06995,0.86359,1.83834,0.98936,1,0.995,0.73453,2.10105,0.72743,1.92722,0.00146896,0.00146896,0.00146896
14,94.5285,2.10098,0.85839,1.86215,0.99548,1,0.995,0.72748,2.15798,0.68227,1.94633,0.00145246,0.00145246,0.00145246
15,101.167,2.06114,0.80945,1.84574,0.98695,1,0.99491,0.73519,2.13795,0.68593,1.94768,0.00143595,0.00143595,0.00143595
16,108.017,2.06987,0.84342,1.84329,0.96506,0.99505,0.99405,0.73749,2.1509,0.73534,1.93398,0.00141945,0.00141945,0.00141945
17,114.794,2.06931,0.84455,1.83825,0.99858,0.99001,0.99492,0.72604,2.1936,0.6742,1.96048,0.00140295,0.00140295,0.00140295
18,121.435,2.08462,0.87912,1.85669,0.98909,0.98845,0.99469,0.72251,2.2783,0.72144,1.98557,0.00138644,0.00138644,0.00138644
19,128.16,2.05072,0.82016,1.83283,0.99547,0.98487,0.995,0.72249,2.26098,0.72827,2.00157,0.00136994,0.00136994,0.00136994
20,134.966,2.07335,0.82454,1.84522,0.97781,0.97643,0.99435,0.73734,2.12508,0.68605,1.93899,0.00135344,0.00135344,0.00135344
21,141.597,2.02412,0.85039,1.83939,0.9849,0.98269,0.99467,0.71237,2.18322,0.71798,1.95784,0.00133693,0.00133693,0.00133693
22,148.278,2.0058,0.79414,1.83422,0.99046,0.99038,0.99481,0.73043,2.08432,0.69113,1.92183,0.00132043,0.00132043,0.00132043
23,154.905,2.01122,0.78615,1.82138,0.96913,1,0.99478,0.70559,2.308,0.7339,1.98405,0.00130393,0.00130393,0.00130393
24,161.545,1.97129,0.74568,1.80887,0.98643,1,0.995,0.74264,2.16047,0.66762,1.93351,0.00128742,0.00128742,0.00128742
25,168.351,1.9295,0.75256,1.80335,0.99086,0.97966,0.99464,0.73386,2.10811,0.68348,1.92173,0.00127092,0.00127092,0.00127092
26,175.139,1.98573,0.79722,1.83363,0.98984,0.99421,0.9947,0.74162,2.08822,0.67111,1.91948,0.00125442,0.00125442,0.00125442
27,181.886,1.97331,0.74245,1.82035,0.98928,0.98588,0.99453,0.75271,2.03718,0.63703,1.89464,0.00123791,0.00123791,0.00123791
28,188.702,1.96114,0.74772,1.82359,0.97269,0.99816,0.9942,0.73057,2.13397,0.68314,1.93318,0.00122141,0.00122141,0.00122141
29,195.438,1.96681,0.74224,1.80098,0.97647,0.99964,0.99387,0.74193,2.0959,0.6695,1.91823,0.00120491,0.00120491,0.00120491
30,202.435,1.96558,0.7368,1.8195,0.98429,0.99827,0.99477,0.73591,2.15257,0.65769,1.96,0.0011884,0.0011884,0.0011884
31,209.388,1.95619,0.73491,1.82382,0.98972,0.98034,0.99453,0.73292,2.16454,0.68132,1.95099,0.0011719,0.0011719,0.0011719
32,216.269,1.96043,0.75626,1.82381,1,0.99581,0.995,0.73645,2.16029,0.64472,1.94272,0.0011554,0.0011554,0.0011554
33,222.892,1.95281,0.71939,1.80111,0.98684,0.99827,0.99472,0.74422,2.07656,0.65401,1.92804,0.00113889,0.00113889,0.00113889
34,229.594,1.94134,0.73824,1.81272,0.99889,0.9951,0.995,0.7566,2.03427,0.62097,1.89717,0.00112239,0.00112239,0.00112239
35,236.506,1.92086,0.72177,1.79904,0.99106,0.99657,0.99492,0.73547,2.09637,0.65016,1.91992,0.00110589,0.00110589,0.00110589
36,243.175,1.92364,0.72922,1.80539,0.99813,0.97579,0.99453,0.7249,2.13424,0.67602,1.93338,0.00108938,0.00108938,0.00108938
