epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.37467,2.71177,6.00534,2.03349,0.97181,0.73568,0.9863,0.66974,2.40299,1.83011,2.10829,0.000546249,0.000546249,0.000546249
2,14.1091,2.27881,1.33137,1.90505,0.93682,0.96315,0.99449,0.68303,2.34065,1.21537,2.1616,0.00109646,0.00109646,0.00109646
3,20.771,2.43855,1.28127,1.93764,0.97209,0.98127,0.9922,0.63247,2.70804,1.05401,2.24006,0.00164117,0.00164117,0.00164117
4,27.3395,2.35916,1.29008,1.92629,0.85679,0.41117,0.60709,0.41948,2.60175,4.84108,2.12992,0.00164225,0.00164225,0.00164225
5,34.0695,2.29762,1.10762,1.89709,0.94494,0.56885,0.74997,0.54605,2.34925,4.32705,2.05154,0.00163399,0.00163399,0.00163399
6,40.6763,2.30737,1.04852,1.91276,1,0.99362,0.995,0.6623,2.45666,0.87991,2.06463,0.00162574,0.00162574,0.00162574
7,47.2882,2.24857,0.97877,1.89527,0.94812,0.97344,0.99153,0.70865,2.21648,0.82793,1.99924,0.00161749,0.00161749,0.00161749
8,53.9577,2.22852,0.98584,1.90266,0.9911,1,0.995,0.69978,2.27568,0.81283,1.99573,0.00160924,0.00160924,0.00160924
9,60.5319,2.25115,0.93963,1.88995,0.94575,0.93196,0.98957,0.68476,2.30614,0.98793,2.00241,0.00160099,0.00160099,0.00160099
10,67.1575,2.22022,0.92734,1.88526,0.97407,1,0.99445,0.70368,2.31373,0.78023,1.99299,0.00159274,0.00159274,0.00159274
11,73.8987,2.18009,0.92792,1.86579,0.9229,0.99167,0.9908,0.68853,2.26717,0.79621,1.99562,0.00158448,0.00158448,0.00158448
12,80.512,2.21012,0.92251,1.90314,0.99709,0.95096,0.99232,0.66997,2.24884,0.9832,1.95559,0.00157623,0.00157623,0.00157623
13,87.0924,2.12032,0.87095,1.84813,0.9711,0.98232,0.9906,0.70815,2.17077,0.87917,1.95704,0.00156798,0.00156798,0.00156798
14,93.718,2.10643,0.87829,1.86048,0.954,0.9613,0.9901,0.70933,2.22459,0.77718,1.99112,0.00155973,0.00155973,0.00155973
15,100.406,2.09896,0.82279,1.8617,0.98187,0.99231,0.99379,0.71521,2.12376,0.72755,1.94014,0.00155148,0.00155148,0.00155148
16,107.216,2.08341,0.89174,1.85191,0.99187,0.99049,0.99492,0.75637,2.01673,0.69332,1.89408,0.00154323,0.00154323,0.00154323
17,113.869,2.08145,0.84859,1.83907,0.97805,0.99038,0.99427,0.72272,2.1097,0.74763,1.93955,0.00153497,0.00153497,0.00153497
18,120.513,2.07642,0.86118,1.86001,0.98119,0.99888,0.99485,0.69924,2.31843,0.71785,2.01896,0.00152672,0.00152672,0.00152672
19,127.14,2.09334,0.80671,1.83776,0.86605,0.92308,0.97211,0.72437,2.05557,1.10762,1.919,0.00151847,0.00151847,0.00151847
20,133.766,2.11285,0.83409,1.85269,0.99561,0.99883,0.995,0.75118,2.02299,0.62917,1.90612,0.00151022,0.00151022,0.00151022
