epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3157,1.27812,1.39566,1.01532,0.59714,0.83462,0.67465,0.42893,1.21797,0.87386,1.07328,0.000546249,0.000546249,0.000546249
2,22.2953,1.10886,0.62018,0.95305,0.95483,0.96054,0.9893,0.67012,1.16371,1.02884,1.05013,0.00109101,0.00109101,0.00109101
3,33.2728,1.11578,0.62102,0.9494,0.12527,0.99231,0.13884,0.08322,1.36146,43.5467,1.16642,0.00162476,0.00162476,0.00162476
4,44.0856,1.11451,0.62715,0.95098,0.90162,0.92951,0.94196,0.67083,1.1041,0.74655,0.99762,0.00161749,0.00161749,0.00161749
5,54.858,1.09326,0.53085,0.94144,0.64262,0.96428,0.64931,0.4475,1.14958,1.43772,1.03442,0.00160099,0.00160099,0.00160099
6,65.7599,1.05287,0.51525,0.93645,0.98985,1,0.995,0.67691,1.16451,0.51717,1.01477,0.00158448,0.00158448,0.00158448
7,76.9181,1.05951,0.52524,0.93872,0.98293,0.99291,0.995,0.67735,1.16076,0.50946,1.02299,0.00156798,0.00156798,0.00156798
8,87.9143,1.05071,0.50524,0.93894,0.9986,0.99316,0.995,0.72346,1.06286,0.45255,0.9739,0.00155148,0.00155148,0.00155148
9,99.0547,1.04715,0.4936,0.93437,0.99707,0.99746,0.995,0.72728,1.05943,0.47395,0.98119,0.00153497,0.00153497,0.00153497
10,109.994,1.03186,0.50484,0.93193,0.98602,0.99811,0.995,0.73803,1.04301,0.44614,0.96799,0.00151847,0.00151847,0.00151847
11,121.006,1.02746,0.49291,0.92741,0.99883,1,0.995,0.71385,1.06096,0.42852,0.97051,0.00150197,0.00150197,0.00150197
12,131.898,1.0349,0.48098,0.94422,0.9609,0.97768,0.995,0.72831,1.03815,0.49365,0.96301,0.00148546,0.00148546,0.00148546
13,142.794,0.99634,0.46466,0.9171,0.98974,0.99285,0.99453,0.73581,1.04593,0.42373,0.96665,0.00146896,0.00146896,0.00146896
14,153.749,1.02393,0.47899,0.93128,0.98614,0.99336,0.98561,0.71195,1.0861,0.45737,0.98135,0.00145246,0.00145246,0.00145246
15,164.688,0.99244,0.45312,0.92282,0.99221,0.99259,0.995,0.74161,1.02997,0.4328,0.959,0.00143595,0.00143595,0.00143595
16,175.86,0.97492,0.44553,0.91592,0.99341,0.99915,0.995,0.73385,1.01769,0.39324,0.95025,0.00141945,0.00141945,0.00141945
17,186.68,0.97988,0.44041,0.91628,0.99678,1,0.995,0.73434,1.04594,0.40062,0.97362,0.00140295,0.00140295,0.00140295
18,197.513,0.97912,0.45622,0.92129,0.99884,1,0.995,0.7217,1.11233,0.39761,0.98782,0.00138644,0.00138644,0.00138644
19,208.456,0.97737,0.44344,0.91019,0.99878,1,0.995,0.72551,1.03322,0.39067,0.96672,0.00136994,0.00136994,0.00136994
20,219.383,1.00057,0.43608,0.92301,0.99784,1,0.995,0.74556,1.01951,0.38416,0.9569,0.00135344,0.00135344,0.00135344
21,230.577,0.97068,0.43294,0.91846,0.98431,0.99208,0.98792,0.7244,1.05113,0.41995,0.96841,0.00133693,0.00133693,0.00133693
22,241.547,0.95968,0.43651,0.914,0.99879,1,0.995,0.75089,1.01665,0.38665,0.95337,0.00132043,0.00132043,0.00132043
23,252.83,0.95053,0.42634,0.90573,0.99547,1,0.995,0.75329,1.04573,0.39143,0.95944,0.00130393,0.00130393,0.00130393
24,263.937,0.93326,0.40593,0.90124,0.99845,1,0.995,0.74671,1.04134,0.37539,0.9693,0.00128742,0.00128742,0.00128742
25,274.816,0.93552,0.40803,0.90137,0.99614,0.99298,0.995,0.73229,1.00025,0.40717,0.94799,0.00127092,0.00127092,0.00127092
26,285.754,0.9328,0.42216,0.91072,0.99859,1,0.995,0.75438,1.00341,0.38501,0.94468,0.00125442,0.00125442,0.00125442
27,297.008,0.94577,0.41511,0.90573,0.99855,1,0.995,0.74268,0.99857,0.38023,0.95725,0.00123791,0.00123791,0.00123791
28,307.976,0.92536,0.41266,0.90561,0.98965,0.99255,0.995,0.73743,1.02552,0.38211,0.95933,0.00122141,0.00122141,0.00122141
29,318.927,0.92531,0.40627,0.8935,0.99863,1,0.995,0.72929,1.05662,0.39294,0.96694,0.00120491,0.00120491,0.00120491
30,330.04,0.93821,0.40371,0.9064,0.99887,1,0.995,0.73479,1.03083,0.37204,0.96493,0.0011884,0.0011884,0.0011884
31,341.09,0.92232,0.40331,0.90605,0.99719,1,0.995,0.75052,1.04191,0.38052,0.96876,0.0011719,0.0011719,0.0011719
32,352.144,0.91981,0.4049,0.90663,0.99874,1,0.995,0.74237,1.02594,0.39266,0.95762,0.0011554,0.0011554,0.0011554
33,363.11,0.90582,0.39701,0.89542,0.9983,1,0.995,0.71768,1.08036,0.37273,0.98215,0.00113889,0.00113889,0.00113889
34,374.006,0.90802,0.39003,0.90114,0.99863,1,0.995,0.7355,1.05804,0.38052,0.96757,0.00112239,0.00112239,0.00112239
35,384.88,0.93328,0.39771,0.8987,0.98601,1,0.995,0.75041,0.98083,0.35342,0.93946,0.00110589,0.00110589,0.00110589
